"enrol_id","foe_code","eftsl","student_contribution","commonwealth_contribution","tuition_amount","enrol_unit"
"81288","050999","0.250","2237.00","4573.00","6810.00",2
"81289","010900","0.500","4474.00","9146.00","13620.00",4
"81290","080300","0.125","2040.38","154.50","2194.88",1
"81291","081101","0.125","2040.38","154.50","2194.88",1
"81292","091505","0.375","1666.88","6859.50","8526.38",3
"81293","019900","0.625","5592.50","11432.50","17025.00",5
"81294","010909","0.625","5592.50","11432.50","17025.00",5
"81295","039999","0.125","1118.50","2286.50","3405.00",1
"81296","091505","0.125","555.63","2286.50","2842.13",1
"81297","080505","0.125","2040.38","154.50","2194.88",1
"81298","060113","0.125","1118.50","3799.38","4917.88",1
"81299","020111","1.500","13422.00","22372.50","35794.50",12
"81300","020119","0.500","4474.00","7457.50","11931.50",4
"81301","029901","0.625","5592.50","9321.88","14914.38",5
"81302","091901","0.875","14282.63","1081.50","15364.13",7
"81303","090901","0.250","4080.75","309.00","4389.75",2
"81304","010999","0.125","1118.50","2286.50","3405.00",1
"81305","010500","0.375","3355.50","6859.50","10215.00",3
"81306","010500","0.250","2237.00","4573.00","6810.00",2
"81307","010500","0.125","1118.50","2286.50","3405.00",1
"81308","100101","0.250","2237.00","3728.75","5965.75",2
"81309","030701","0.375","3355.50","6859.50","10215.00",3
"81310","090300","0.750","12242.25","927.00","13169.25",6
"81311","010905","0.125","1118.50","2286.50","3405.00",1
"81312","091505","1.000","4445.00","18292.00","22737.00",8
"81313","010909","0.250","2237.00","4573.00","6810.00",2
"81314","039999","0.500","4474.00","9146.00","13620.00",4
"81315","090399","2.000","32646.00","2472.00","35118.00",16
"81316","080101","0.125","2040.38","154.50","2194.88",1
"81317","020199","1.000","8948.00","14915.00","23863.00",8
"81318","080101","2.500","40807.50","3090.00","43897.50",20
"81319","091515","0.250","1111.25","4573.00","5684.25",2
"81320","091515","0.125","555.63","2286.50","2842.13",1
